product_code,description,unit,substitute_for
CB-16A-1P,MCB 16A 1-pole type C,pcs,
CB-20A-1P,MCB 20A 1-pole type C,pcs,
CB-32A-3P,MCB 32A 3-pole type C,pcs,
CTC-09A-230V,Contactor 9A 230V coil,pcs,
TB-2.5-GY,Terminal block 2.5mm2 grey,pcs,
CBL-H07VK-2.5-BK,Cable H07V-K 2.5mm2 black,m,
RLY-230V-2CO,Interface relay 230V 2CO,pcs,
LUG-2.5-M4,Cable lug 2.5mm2 M4,pcs,
CB-16A-1P-NEW,MCB 16A 1-pole type C (rev B),pcs,CB-16A-1P-OLD
DUP-CODE-01,Duplicate catalogue entry A,pcs,
DUP-CODE-01,Duplicate catalogue entry B,box,
